Entry Date,Close Date,Symbol,Direction,Qty,Entry Price,Exit Price,Gross P&L,Net P&L
2022-11-10,2022-11-18,ADANIPOWER,BUY,345,73.16,67.99,-1783.65,-1793.39
2023-03-15,2023-05-02,ADANIPOWER,SELL,469,38.83,31.66,-3362.73,-3370.69
2023-07-07,2023-08-14,ADANIPOWER,BUY,571,49.01,56.66,4368.15,4356.08
2023-10-11,2023-10-25,ADANIPOWER,BUY,360,70.6,65.39,-1875.6,-1885.39
2023-10-30,2023-11-29,ADANIPOWER,BUY,269,70.88,91.34,5503.74,5495.01
2024-02-23,2024-03-14,ADANIPOWER,BUY,227,112.4,100.38,-2728.54,-2738.2
2024-04-02,2024-04-04,ADANIPOWER,BUY,225,115.0,126.03,2481.75,2470.9
2024-05-09,2024-05-22,ADANIPOWER,BUY,252,117.88,137.58,4964.4,4951.53
2024-07-10,2024-08-16,ADANIPOWER,BUY,201,146.81,136.6,-2052.21,-2063.6
2024-09-25,2024-10-07,ADANIPOWER,BUY,245,134.0,128.29,-1398.95,-1411.8
2024-12-02,2025-01-14,ADANIPOWER,SELL,143,111.41,130.82,2775.63,2769.81
2025-01-22,2025-04-23,ADANIPOWER,SELL,188,106.18,96.96,-1733.36,-1741.69
2025-05-05,2025-05-19,ADANIPOWER,SELL,249,105.6,97.9,-1917.3,-1928.2
2025-07-30,2025-08-04,ADANIPOWER,BUY,323,118.8,113.4,-1744.2,-1759.2
2025-08-05,2025-09-10,ADANIPOWER,BUY,294,116.8,129.4,3704.4,3689.92
2025-11-20,2025-12-05,ADANIPOWER,BUY,211,152.29,143.0,-1960.19,-1972.65
2026-01-02,2026-01-09,ADANIPOWER,BUY,274,149.0,143.2,-1589.2,-1605.21
2026-02-05,2026-02-16,ADANIPOWER,BUY,183,155.29,140.5,-2706.57,-2717.39
2026-02-18,2026-04-09,ADANIPOWER,BUY,191,144.5,168.95,4669.95,4657.98
