Entry Date,Close Date,Symbol,Direction,Qty,Entry Price,Exit Price,Gross P&L,Net P&L
1996-03-15,1996-04-18,TATAPOWER,BUY,1912,7.5,8.13,1209.47,1203.49
1996-05-02,1996-06-11,TATAPOWER,BUY,1359,8.48,9.03,745.27,740.51
1996-09-04,1996-09-18,TATAPOWER,SELL,1622,7.6,7.93,542.62,537.8
1996-10-30,1996-11-07,TATAPOWER,SELL,1487,6.53,7.12,883.08,879.38
1996-11-20,1996-11-25,TATAPOWER,SELL,2140,6.12,6.64,1104.39,1099.37
1997-02-07,1997-06-12,TATAPOWER,BUY,1382,7.0,7.52,716.8,712.78
1997-07-02,1997-07-23,TATAPOWER,BUY,2288,7.25,7.97,1649.66,1642.7
1997-07-29,1997-09-02,TATAPOWER,BUY,1774,7.56,6.28,-2256.35,-2261.26
1997-10-02,1997-10-28,TATAPOWER,SELL,2081,6.49,6.98,1029.94,1024.74
1997-10-31,1997-11-10,TATAPOWER,SELL,1954,6.11,6.46,665.52,660.87
1997-12-11,1998-01-05,TATAPOWER,SELL,2386,5.35,4.53,-1955.45,-1960.94
1998-01-14,1998-02-26,TATAPOWER,BUY,2219,6.11,5.96,-342.46,-347.82
1998-04-02,1998-04-10,TATAPOWER,BUY,1945,6.55,6.87,621.05,615.83
1998-04-16,1998-04-27,TATAPOWER,BUY,2014,6.79,5.91,-1768.47,-1773.58
1998-06-19,1998-10-07,TATAPOWER,SELL,1492,4.89,4.73,-244.54,-247.51
1998-10-28,1998-11-11,TATAPOWER,SELL,3183,4.94,4.51,-1397.1,-1403.68
1999-04-21,1999-04-27,TATAPOWER,SELL,2198,3.89,4.28,860.96,857.71
1999-06-04,1999-07-14,TATAPOWER,BUY,1570,4.33,5.28,1487.76,1484.75
1999-09-10,1999-11-02,TATAPOWER,BUY,1728,5.07,4.09,-1682.28,-1685.44
1999-12-22,2000-01-11,TATAPOWER,SELL,2677,4.31,3.56,-2028.75,-2033.78
