instrument_token,tradingsymbol,name,exchange,segment,expiry,strike,instrument_type,lot_size
130294532,TRUSTWAVE,TRUSTWAVE SECURITIES,BSE,BSE,,0.0,EQ,1
132880388,ZKHANDEN,KHANDELWAL EXTRACTION,BSE,BSE,,0.0,EQ,1
133926660,OTCO,OTCO INTERNATIONAL,BSE,BSE,,0.0,EQ,1
136602884,SETUINFRA,SETUBANDHAN INFRASTRUCTURE LIM,BSE,BSE,,0.0,EQ,1
138041348,HCKKVENTURE,HCKK VENTURES,BSE,BSE,,0.0,EQ,1
138173956,SIMBHALS,SIMBHAOLI SUGARS,BSE,BSE,,0.0,EQ,1
138267652,TIAANC,TIAAN CONSUMER,BSE,BSE,,0.0,EQ,1
139232260,KTKFMP308RG,,BSE,BSE,,0.0,EQ,1
139232516,KTKFMP308RI,,BSE,BSE,,0.0,EQ,1
139232772,KTKFMP308DG,,BSE,BSE,,0.0,EQ,1
139233028,KTKFMP308DI,,BSE,BSE,,0.0,EQ,1
187130116,JBCIP28126,,BSE,BSE,,0.0,EQ,1
192283140,MAHAPE-RE,MAHA RASHTRA APEX CORPORATION,BSE,BSE,,0.0,EQ,1
227899652,PVVIPP,PVV INFRA,BSE,BSE,,0.0,EQ,1
244212996,835HDFCB26,,BSE,BSE,,0.0,EQ,1
244224004,960ECL26A,,BSE,BSE,,0.0,EQ,1
245630212,1275FSBF26,,BSE,BSE,,0.0,EQ,100000
2166787,USDINR26424FUT,USDINR,CDS,CDS-FUT,2026-04-24,0.0,FUT,1
2257923,EURINR26424102.5CE,EURINR,CDS,CDS-OPT,2026-04-24,102.5,CE,1
2258179,EURINR26424102.5PE,EURINR,CDS,CDS-OPT,2026-04-24,102.5,PE,1
2258435,EURINR26424102.75CE,EURINR,CDS,CDS-OPT,2026-04-24,102.75,CE,1
2258691,EURINR26424102.75PE,EURINR,CDS,CDS-OPT,2026-04-24,102.75,PE,1
2258947,EURINR26424103CE,EURINR,CDS,CDS-OPT,2026-04-24,103.0,CE,1
2259203,EURINR26424103PE,EURINR,CDS,CDS-OPT,2026-04-24,103.0,PE,1
