instrument_token,tradingsymbol,name,exchange,segment,expiry,strike,instrument_type,lot_size
223026437,BANKEX26MAYFUT,BANKEX,BFO,BFO-FUT,2026-05-27,0.0,FUT,30
283531013,BANKEX26JUNFUT,BANKEX,BFO,BFO-FUT,2026-06-25,0.0,FUT,30
293449733,BANKEX26JULFUT,BANKEX,BFO,BFO-FUT,2026-07-30,0.0,FUT,30
222776325,SENSEX26MAYFUT,SENSEX,BFO,BFO-FUT,2026-05-27,0.0,FUT,20
283100933,SENSEX26JUNFUT,SENSEX,BFO,BFO-FUT,2026-06-25,0.0,FUT,20
292993797,SENSEX26JULFUT,SENSEX,BFO,BFO-FUT,2026-07-30,0.0,FUT,20
223939333,SENSEX5026MAYFUT,SENSEX50,BFO,BFO-FUT,2026-05-27,0.0,FUT,75
284530181,SENSEX5026JUNFUT,SENSEX50,BFO,BFO-FUT,2026-06-25,0.0,FUT,75
291452421,SENSEX5026JULFUT,SENSEX50,BFO,BFO-FUT,2026-07-30,0.0,FUT,75
223856133,BANKEX26MAY63100CE,BANKEX,BFO,BFO-OPT,2026-05-27,63100.0,CE,30
224254469,BANKEX26MAY63100PE,BANKEX,BFO,BFO-OPT,2026-05-27,63100.0,PE,30
223665413,BANKEX26MAY63000PE,BANKEX,BFO,BFO-OPT,2026-05-27,63000.0,PE,30
224322821,BANKEX26MAY63000CE,BANKEX,BFO,BFO-OPT,2026-05-27,63000.0,CE,30
223370245,BANKEX26MAY63200CE,BANKEX,BFO,BFO-OPT,2026-05-27,63200.0,CE,30
223791621,BANKEX26MAY63200PE,BANKEX,BFO,BFO-OPT,2026-05-27,63200.0,PE,30
222510853,BANKEX26MAY62900PE,BANKEX,BFO,BFO-OPT,2026-05-27,62900.0,PE,30
223187717,BANKEX26MAY62900CE,BANKEX,BFO,BFO-OPT,2026-05-27,62900.0,CE,30
222421253,BANKEX26MAY63300PE,BANKEX,BFO,BFO-OPT,2026-05-27,63300.0,PE,30
223973637,BANKEX26MAY63300CE,BANKEX,BFO,BFO-OPT,2026-05-27,63300.0,CE,30
222579973,BANKEX26MAY62800CE,BANKEX,BFO,BFO-OPT,2026-05-27,62800.0,CE,30
